epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
52,0.21739130434782605,0.23220904373610085,0.4381,0.3789,0.3662,0.23602484472049692,0.2525464834276476,0.4902,0.4439,0.436
53,0.2049689440993789,0.21940758873929017,0.3758,0.3105,0.3048,0.2484472049689441,0.26253869969040255,0.4451,0.3803,0.377
54,0.18012422360248445,0.18748978877348582,0.3607,0.3066,0.3038,0.22981366459627328,0.24596636820266438,0.4408,0.3877,0.3801
55,0.21739130434782605,0.22434578065274924,0.4386,0.389,0.389,0.2484472049689441,0.2648661840071586,0.4846,0.4395,0.4284
56,0.22981366459627328,0.24452287466360798,0.4141,0.3469,0.3355,0.25465838509316774,0.26911770627793663,0.4679,0.4066,0.3975
57,0.2111801242236025,0.2203984537615225,0.3981,0.3482,0.3302,0.23602484472049692,0.24356775300171532,0.4479,0.4118,0.3841
58,0.2049689440993789,0.21976369495166495,0.4024,0.3535,0.3399,0.21739130434782605,0.230999345610919,0.448,0.4088,0.3891
59,0.2236024844720497,0.2389086488676782,0.4234,0.3561,0.3526,0.22981366459627328,0.24452287466360798,0.4551,0.4009,0.3921
60,0.21739130434782605,0.2317277292170356,0.4285,0.3711,0.3662,0.2422360248447205,0.2544529479669931,0.4871,0.4382,0.4245
61,0.18012422360248445,0.19176788124156546,0.3631,0.318,0.3137,0.1987577639751553,0.214354066985646,0.4248,0.3833,0.3797
62,0.2111801242236025,0.2207857672349889,0.3997,0.3417,0.3346,0.22981366459627328,0.2448864636507658,0.4454,0.3921,0.3862
63,0.17391304347826086,0.18168709444844994,0.3367,0.3101,0.3031,0.21739130434782605,0.22285487943754032,0.3997,0.3588,0.3429
64,0.2111801242236025,0.2253892444359538,0.41,0.3706,0.3583,0.22981366459627328,0.24255243035370933,0.4275,0.3877,0.3697
65,0.19254658385093168,0.2003930989298974,0.3572,0.3022,0.3069,0.2049689440993789,0.21381706693919272,0.3991,0.3509,0.3539
66,0.17391304347826086,0.18090744101633396,0.353,0.3013,0.2999,0.2049689440993789,0.21342694613847185,0.4277,0.3798,0.3739
67,0.21739130434782605,0.22914396702828177,0.3877,0.3408,0.3251,0.25465838509316774,0.26684904658854275,0.4461,0.3776,0.3696
68,0.2236024844720497,0.23052917879467485,0.4035,0.3404,0.3409,0.25465838509316774,0.26490952656366196,0.4679,0.3908,0.3927
69,0.18012422360248445,0.18788019773189882,0.3979,0.3596,0.3611,0.2236024844720497,0.2375784019634579,0.464,0.4083,0.4063
70,0.19254658385093168,0.2003930989298974,0.3643,0.3307,0.3107,0.2236024844720497,0.23252047829771214,0.4336,0.3965,0.3776
71,0.19254658385093168,0.19960443907262942,0.3848,0.3228,0.3287,0.2236024844720497,0.2310654685494224,0.4483,0.3987,0.3931
72,0.2111801242236025,0.22104276624081293,0.4047,0.3447,0.3414,0.23602484472049692,0.2435677530017153,0.4501,0.3978,0.3918
73,0.2236024844720497,0.23509388585699756,0.4407,0.3768,0.3723,0.2484472049689441,0.26039661952974646,0.4896,0.4298,0.4276
74,0.16770186335403725,0.17574855867584158,0.3813,0.3395,0.3387,0.21739130434782605,0.22723780253553597,0.4488,0.407,0.3898
75,0.1863354037267081,0.19315278487480844,0.4086,0.3531,0.3497,0.2111801242236025,0.2203984537615225,0.4379,0.3864,0.3766
76,0.18012422360248445,0.19004452563077978,0.3871,0.339,0.3288,0.2111801242236025,0.22526889430661126,0.4608,0.3991,0.3933
77,0.2049689440993789,0.21144164759725403,0.4042,0.3561,0.3485,0.23602484472049692,0.24850498338870436,0.4806,0.4254,0.417
78,0.18012422360248445,0.1887811634349031,0.3967,0.3627,0.3564,0.21739130434782605,0.22619969040247687,0.4431,0.4039,0.3902
79,0.17391304347826086,0.18220095693779909,0.3847,0.3439,0.3446,0.19254658385093168,0.20194132873166526,0.4164,0.3658,0.3709
80,0.18012422360248445,0.1868333039957754,0.422,0.3575,0.362,0.21739130434782605,0.2312430011198209,0.4823,0.4154,0.412
81,0.1863354037267081,0.19446160759422573,0.4041,0.3561,0.3495,0.2236024844720497,0.23794369645042845,0.4691,0.411,0.4114
82,0.1987577639751553,0.20723552367893688,0.4167,0.3649,0.3462,0.23602484472049692,0.24975288303130153,0.4966,0.4338,0.4194
83,0.19254658385093168,0.20320273299882574,0.4127,0.3452,0.3453,0.21739130434782605,0.23136450515127505,0.4623,0.4101,0.398
84,0.1987577639751553,0.20762395499237607,0.4066,0.3386,0.3466,0.2236024844720497,0.2385483434142819,0.4672,0.4013,0.4094
85,0.17391304347826086,0.18232869347033878,0.3681,0.3211,0.3089,0.2111801242236025,0.22269005847953222,0.4534,0.3952,0.3898
86,0.2049689440993789,0.21316559691912715,0.4122,0.3504,0.3414,0.23602484472049692,0.24463373083475307,0.4723,0.4075,0.3936
87,0.19254658385093168,0.19867175826000336,0.3878,0.3382,0.3251,0.22981366459627328,0.2441574524546662,0.4562,0.3886,0.3833
88,0.2049689440993789,0.21144164759725406,0.4437,0.3886,0.3865,0.2422360248447205,0.2563318408380503,0.4937,0.443,0.4221
89,0.2049689440993789,0.21446224256292915,0.4184,0.3724,0.3664,0.2236024844720497,0.23757840196345792,0.4719,0.4219,0.4208
90,0.1987577639751553,0.20458508233774625,0.4034,0.3461,0.35,0.22981366459627328,0.2435443037974684,0.462,0.3921,0.3939
91,0.1863354037267081,0.19548872180451135,0.4472,0.411,0.3958,0.21739130434782605,0.23196881091617932,0.492,0.4518,0.4368
92,0.1863354037267081,0.19548872180451135,0.3907,0.3232,0.3243,0.2049689440993789,0.21484636446607855,0.4295,0.3684,0.3659
93,0.1987577639751553,0.2086484794742059,0.3978,0.3425,0.3317,0.22981366459627328,0.24292595896520963,0.4418,0.3912,0.3792
94,0.2049689440993789,0.2154816571630419,0.4699,0.4338,0.4181,0.2236024844720497,0.23914782686862335,0.5034,0.4737,0.4507
95,0.2111801242236025,0.21909145487292378,0.4348,0.3781,0.3727,0.22981366459627328,0.23949422558999406,0.4817,0.4342,0.4244
96,0.1987577639751553,0.20485499462943077,0.4158,0.3671,0.3535,0.23602484472049692,0.250369155045119,0.485,0.4373,0.4167
97,0.2049689440993789,0.20785737162378567,0.3636,0.3167,0.3103,0.2484472049689441,0.26065162907268175,0.4229,0.3654,0.3535
98,0.1863354037267081,0.19381070702507344,0.3681,0.3224,0.3166,0.2111801242236025,0.22142646335464833,0.4314,0.3811,0.3769
99,0.1863354037267081,0.19510559839088168,0.3723,0.3298,0.3237,0.2111801242236025,0.2186944960112388,0.4161,0.3789,0.3618
