epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
75,0.2111801242236025,0.20889366272824922,0.4885,0.4711,0.4522,0.25465838509316774,0.255365800393099,0.533,0.4991,0.4754
76,0.2422360248447205,0.23821571866886948,0.4912,0.4605,0.4436,0.2919254658385093,0.2918047846889952,0.5516,0.4969,0.4819
77,0.21739130434782605,0.21399306649858182,0.4411,0.3886,0.3826,0.22981366459627328,0.22478195488721808,0.4792,0.4263,0.424
78,0.2422360248447205,0.23867809057527542,0.506,0.4811,0.4532,0.2670807453416149,0.26843765565332883,0.5538,0.5307,0.5084
79,0.2236024844720497,0.2198557618536137,0.4693,0.4447,0.4234,0.25465838509316774,0.24821379874556856,0.517,0.4754,0.4627
80,0.2049689440993789,0.20272289556699324,0.4582,0.4439,0.4158,0.22981366459627328,0.2252511620932674,0.493,0.4667,0.447
81,0.21739130434782605,0.21671826625386997,0.4611,0.443,0.4202,0.2422360248447205,0.23974736842105268,0.4804,0.457,0.4373
82,0.22981366459627328,0.2264894091968848,0.4634,0.4439,0.4115,0.2608695652173913,0.25719152653417776,0.4976,0.4776,0.4374
83,0.22981366459627328,0.22478195488721808,0.4837,0.4566,0.4364,0.27329192546583847,0.26641825803446667,0.5166,0.4833,0.4585
84,0.2422360248447205,0.24518525228734492,0.4984,0.4522,0.4399,0.2608695652173913,0.2649820098736508,0.5464,0.5018,0.4851
85,0.21739130434782605,0.2161210111893908,0.459,0.4307,0.4222,0.22981366459627328,0.22740590933754254,0.4872,0.4579,0.4516
86,0.2111801242236025,0.20980036297640656,0.4492,0.432,0.4161,0.2608695652173913,0.25533153924206997,0.4996,0.4654,0.4475
87,0.23602484472049692,0.2326605504587156,0.4582,0.4342,0.4182,0.2484472049689441,0.24392269016098525,0.4731,0.4474,0.4396
88,0.2422360248447205,0.23743954480796595,0.4462,0.4105,0.382,0.2670807453416149,0.2599270453361126,0.4956,0.4535,0.4294
89,0.19254658385093168,0.19113820185206898,0.4422,0.3974,0.3962,0.1987577639751553,0.19700711237553345,0.4542,0.411,0.4098
90,0.21739130434782605,0.22175106011474188,0.4631,0.4395,0.4171,0.2608695652173913,0.26168335819305344,0.5093,0.4776,0.4497
91,0.19254658385093168,0.18992312241277354,0.4347,0.4031,0.3908,0.2236024844720497,0.22062506362618353,0.4814,0.4504,0.4326
92,0.2049689440993789,0.20437684648210963,0.4334,0.4101,0.3956,0.2422360248447205,0.24490018148820333,0.4786,0.4491,0.4282
93,0.2049689440993789,0.2031777557100298,0.4517,0.4215,0.4026,0.22981366459627328,0.22571770334928232,0.4817,0.4491,0.432
94,0.21739130434782605,0.21445404556166536,0.4555,0.4382,0.4132,0.25465838509316774,0.2555119141136423,0.5035,0.4772,0.4509
95,0.19254658385093168,0.19143859649122813,0.4047,0.3689,0.3601,0.2422360248447205,0.23697047496790763,0.4856,0.436,0.4322
96,0.21739130434782605,0.21642022541619274,0.4357,0.4079,0.387,0.2484472049689441,0.24392269016098525,0.4761,0.4303,0.4175
97,0.23602484472049692,0.23281393217231902,0.4633,0.4228,0.4096,0.2608695652173913,0.2621205679789134,0.5253,0.4807,0.4662
98,0.2484472049689441,0.24361166304699416,0.4584,0.4075,0.3931,0.27329192546583847,0.2673633643757111,0.512,0.4632,0.4453
99,0.22981366459627328,0.2272538757776242,0.4609,0.432,0.4133,0.2484472049689441,0.2443871917556128,0.4836,0.4605,0.4424
